,house-types,location,bedrooms,bathrooms,toilets,price,rent / sale
0,FLAT ,Island,3,3,4,"8,000,000",RENT
1,FLAT ,Ikoyi,3,3,4,"12,000,000",RENT
2,FLAT ,Ikeja,3,3,4,"2,000,000",RENT
3,FLAT ,Lekki,3,3,4,"3,500,000",RENT
4,TERRACED DUPLEX,Ikoyi,4,4,5,"13,000,000",RENT
5,HOUSE FOR,Lekki,4,4,5,"5,000,000",RENT
6,FLAT ,Lekki,3,3,4,"3,000,000",RENT
7,MINI FLAT,Ojodu,1,1,2,"700,000",RENT
8,BLOCKS OF,Isolo,3,3,4,"1,200,000",RENT
9,TERRACED DUPLEX,Lekki,5,5,6,"65,000,000",SALE
10,FLAT ,Isolo,3,3,4,"1,200,000",RENT
11,FLAT ,Isolo,3,3,4,"1,500,000",RENT
12,FLAT ,Isolo,0,0,0,"120,000",RENT
13,FLAT ,Isolo,0,0,0,"150,000",RENT
14,FLAT ,Isolo,0,0,0,"120,000",RENT
15,DETACHED DUPLEX,Lekki,4,4,5,"3,500,000",RENT
16,FLAT ,Ikeja,beds,baths,Toilets,"1,000,000",RENT
17,FLAT ,Ikosi,3,3,3,"850,000",RENT
18,MINI FLAT,Ikosi,1,1,2,"500,000",RENT
19,DETACHED DUPLEX,Ikeja,4,4,5,"5,000,000",RENT
20,DETACHED DUPLEX,Ikeja,4,4,5,"5,000,000",RENT
21,COMMERCIAL PROPERTY,Ikeja,beds,baths,Toilets,"5,500,000",RENT
22,FLAT ,RoadIkoyi,3,3,4,"6,000,000",RENT
23,SEMI DETACHED,Lekki,4,4,5,"4,000,000",RENT
24,FLAT ,Lekki,3,3,4,"2,500,000",RENT
25,TERRACED DUPLEX,Lekki,4,4,5,"5,000,000",RENT
26,TERRACED DUPLEX,Island,4,5,6,"10,000,000",RENT
27,COMMERCIAL PROPERTY,Maryland,beds,baths,4,"40,000",RENT
28,FLAT ,Ikoyi,4,4,5,"18,000,000",RENT
29,COMMERCIAL PROPERTY,Ikeja,beds,baths,2,"25,000",RENT
30,MINI FLAT,Lekki,1,1,2,"50,000,000",SALE
31,TERRACED DUPLEX,Ikoyi,4,4,5,"8,000,000",RENT
32,FLAT ,Ikeja,3,3,4,"2,500,000",RENT
33,FLAT ,Island,2,2,3,"12,000,000",RENT
34,FLAT ,Ikoyi,2,2,3,"8,000,000",RENT
35,DUPLEX HOUSE,Lekki,beds,baths,Toilets,"3,500,000",RENT
36,TERRACED DUPLEX,Lekki,3,3,4,"3,700,000",RENT
37,TERRACED DUPLEX,Lekki,4,4,5,"6,000,000",RENT
38,FLAT ,Ikoyi,2,2,3,"8,000,000",RENT
39,FLAT ,Island,3,3,4,"21,500,000",RENT
40,FLAT ,Ikoyi,3,3,4,"10,000,000",RENT
41,FLAT ,Ikoyi,3,3,4,"10,000,000",RENT
42,COMMERCIAL PROPERTY,Island,beds,baths,Toilets,"45,000",RENT
43,TERRACED DUPLEX,Lekki,4,4,5,"4,500,000",RENT
44,FLAT ,Ikoyi,3,3,4,"9,000,000",RENT
45,TERRACED DUPLEX,Ikoyi,4,5,4,"15,000,000",RENT
46,FLAT ,Ikoyi,2,2,3,"13,000,000",RENT
47,FLAT ,Island,3,3,4,"4,000,000",RENT
48,FLAT ,Island,3,3,4,"3,500,000",RENT
49,FLAT ,Ikoyi,4,5,6,"10,000,000",RENT
50,FLAT ,Island,3,3,4,"10,000,000",RENT
51,TERRACED DUPLEX,Ikeja,4,4,5,"150,000,000",SALE
52,SEMI DETACHED,Ikoyi,4,4,5,"8,000,000",RENT
53,DETACHED DUPLEX,Ikeja,4,4,5,"10,000,000",RENT
54,FLAT ,Lekki,3,3,4,"2,800,000",RENT
55,FLAT ,Ikoyi,3,3,4,"5,000,000",RENT
56,FLAT ,Lekki,3,4,4,"3,000,000",RENT
