,house-types,location,bedrooms,bathrooms,toilets,price,rent / sale
0,DETACHED DUPLEX,Lekki,4,4,5,"90,000,000",SALE
1,MINI FLAT,Lekki,1,1,2,"25,000,000",SALE
2,TERRACED DUPLEX,Lekki,4,4,5,"55,000,000",SALE
3,TERRACED DUPLEX,Lekki,4,4,5,"45,000,000",SALE
4,TERRACED DUPLEX,Lekki,2,2,3,"35,000,000",SALE
5,SEMI DETACHED,Lekki,4,4,5,"55,000,000",SALE
6,TERRACED DUPLEX,Ikoyi,3,5,5,"280,000,000",SALE
7,DETACHED DUPLEX,Isolo,5,5,6,"55,000,000",SALE
8,DETACHED DUPLEX,Lekki,5,5,5,"320,000,000",SALE
9,SEMI DETACHED,Lekki,4,4,4,"80,000,000",SALE
10,SEMI DETACHED,Lekki,5,6,6,"80,000,000",SALE
11,TERRACED DUPLEX,Lekki,4,4,5,"100,000,000",SALE
12,SEMI DETACHED,Lekki,4,4,5,"55,000,000",SALE
13,TERRACED DUPLEX,VGCLekki,4,4,5,"40,000,000",SALE
14,TERRACED DUPLEX,AjahAjah,4,4,5,"33,000,000",SALE
15,DETACHED DUPLEX,Lekki,5,5,6,"120,000,000",SALE
16,TERRACED DUPLEX,LafiajiLekki,4,4,5,"43,000,000",SALE
17,TERRACED DUPLEX,TollgateLekki,4,4,5,"40,000,000",SALE
18,DETACHED DUPLEX,Ikoyi,5,5,6,"595,000,000",SALE
19,BLOCKS OF,Lekki,3,3,4,"40,000,000",SALE
20,SEMI DETACHED,Lekki,4,5,5,"80,000,000",SALE
21,DETACHED DUPLEX,Ikoyi,5,5,6,"520,000,000",SALE
22,DETACHED DUPLEX,Ikoyi,5,5,5,"200,000,000",SALE
23,TERRACED DUPLEX,Lekki,4,4,5,"85,000,000",SALE
24,MASSIONETTE HOUSE,Ikoyi,4,4,5,"380,000,000",SALE
25,SEMI DETACHED,Lekki,4,4,5,"62,000,000",SALE
26,DETACHED DUPLEX,Road.Lekki,5,5,6,"150,000,000",SALE
27,SEMI DETACHED,AjahAjah,4,4,5,"42,000,000",SALE
28,DETACHED DUPLEX,Lekki,5,5,6,"95,000,000",SALE
29,SEMI DETACHED,Drive.Lekki,4,4,5,"58,000,000",SALE
30,TERRACED DUPLEX,Lekki,4,4,5,"45,000,000",SALE
31,DETACHED DUPLEX,Lekki,5,5,6,"80,000,000",SALE
32,DETACHED DUPLEX,Lekki,4,4,5,"90,000,000",SALE
33,SEMI DETACHED,Ajah,4,4,5,"45,000,000",SALE
34,DETACHED DUPLEX,Ilupeju,5,4,5,"240,000,000",SALE
35,SEMI DETACHED,gateLekki,4,4,5,"80,000,000",SALE
36,DETACHED DUPLEX,MegamoundLekki,5,5,6,"110,000,000",SALE
37,TERRACED DUPLEX,Island,4,4,5,"110,000,000",SALE
38,DETACHED DUPLEX,Lekki,4,4,5,"80,000,000",SALE
39,DETACHED DUPLEX,Lekki,5,5,6,"70,000,000",SALE
40,SEMI DETACHED,OrchidLekki,4,4,5,"53,000,000",SALE
41,SEMI DETACHED,Lekki,4,5,6,"50,000,000",SALE
42,TERRACED DUPLEX,Ikoyi,4,4,5,"250,000,000",SALE
43,DETACHED DUPLEX,Lekki,5,5,6,"180,000,000",SALE
44,DETACHED DUPLEX,Lekki,5,5,6,"110,000,000",SALE
45,DETACHED DUPLEX,Ikoyi,6,baths,Toilets,"900,000,000",SALE
46,DETACHED DUPLEX,Ikoyi,7,7,8,"1,200,000,000",SALE
47,TERRACED DUPLEX,Lekki,4,4,5,"45,000,000",SALE
48,DETACHED DUPLEX,Lekki,5,6,7,"75,000,000",SALE
49,SEMI DETACHED,Lekki,4,4,5,"120,000,000",SALE
50,TERRACED DUPLEX,Lekki,4,4,5,"120,000,000",SALE
51,DETACHED DUPLEX,Island,5,5,5,"350,000,000",SALE
52,TERRACED DUPLEX,Lekki,4,4,5,"40,000,000",SALE
53,SEMI DETACHED,Lekki,4,4,5,"120,000,000",SALE
54,DETACHED DUPLEX,Lekki,5,5,5,"85,000,000",SALE
55,SEMI DETACHED,Ikoyi,4,4,5,"210,000,000",SALE
56,DETACHED DUPLEX,...Ajah,5,7,8,"97,000,000",SALE
57,TERRACED DUPLEX,gateLekki,4,4,5,"35,000,000",SALE
58,SEMI DETACHED,Lekki,4,5,5,"55,000,000",SALE
59,SEMI DETACHED,Lekki,4,4,5,"55,000,000",SALE
60,TERRACED DUPLEX,lekkiLekki,3,3,4,"33,000,000",SALE
61,DETACHED DUPLEX,Lekki,5,5,6,"88,000,000",SALE
62,SEMI DETACHED,ChevronLekki,4,5,6,"59,000,000",SALE
63,TERRACED DUPLEX,Ikoyi,4,4,5,"155,000,000",SALE
64,SEMI DETACHED,Ajah,4,4,5,"35,000,000",SALE
65,TERRACED DUPLEX,Lekki,4,4,5,"400,000,000",SALE
66,TERRACED DUPLEX,Ikeja,4,4,5,"150,000,000",SALE
67,DETACHED DUPLEX,Lekki,5,6,7,"120,000,000",SALE
68,DETACHED DUPLEX,Lekki,5,6,7,"135,000,000",SALE
69,DETACHED DUPLEX,Lekki,4,4,5,"80,000,000",SALE
70,TERRACED DUPLEX,Ikoyi,4,4,5,"150,000,000",SALE
71,DETACHED BUNGALOW,ajahAjah,3,3,4,"34,000,000",SALE
72,DETACHED DUPLEX,Ajah,4,4,5,"55,000,000",SALE
73,BLOCKS OF,Ajah,2,2,3,"23,000,000",SALE
74,TERRACED DUPLEX,Lekki,4,4,5,"43,000,000",SALE
75,TERRACED DUPLEX,Lekki,4,4,5,"55,000,000",SALE
76,TERRACED DUPLEX,Lekki,4,5,6,"120,000,000",SALE
77,DETACHED DUPLEX,MegamoundLekki,5,5,6,"90,000,000",SALE
78,SEMI DETACHED,Ajah,4,5,5,"43,000,000",SALE
79,SEMI DETACHED,Island,4,4,5,"160,000,000",SALE
80,DETACHED DUPLEX,Lekki,5,5,6,"200,000,000",SALE
81,TERRACED DUPLEX,gateLekki,4,4,5,"45,000,000",SALE
82,DETACHED DUPLEX,Lekki,5,5,6,"120,000,000",SALE
83,HOUSE FOR,Lekki,4,4,5,"70,000,000",SALE
84,SEMI DETACHED,Lekki,4,4,5,"55,000,000",SALE
85,SEMI DETACHED,Lekki,4,4,4,"55,000,000",SALE
86,SEMI DETACHED,Ikoyi,5,5,6,"250,000,000",SALE
87,SEMI DETACHED,Lekki,4,4,5,"55,000,000",SALE
88,DETACHED DUPLEX,Lekki,5,5,6,"110,000,000",SALE
89,DETACHED DUPLEX,Ikeja,5,baths,Toilets,"135,000,000",SALE
90,SEMI DETACHED,AjahAjah,4,4,5,"35,000,000",SALE
91,DETACHED DUPLEX,Ikoyi,5,5,6,"230,000,000",SALE
92,DETACHED DUPLEX,LekkiLekki,5,5,6,"110,000,000",SALE
93,DETACHED DUPLEX,Lekki,5,5,6,"80,000,000",SALE
94,DETACHED DUPLEX,MegamoundLekki,4,4,5,"80,000,000",SALE
95,SEMI DETACHED,Ajah,4,4,5,"45,000,000",SALE
96,TERRACED DUPLEX,Lekki,4,4,5,"120,000,000",SALE
97,DETACHED DUPLEX,AjahAjah,5,5,5,"95,000,000",SALE
98,DETACHED DUPLEX,Ikoyi,6,6,7,"310,000,000",SALE
99,SEMI DETACHED,Lekki,4,4,5,"50,000,000",SALE
100,DETACHED DUPLEX,Lekki,5,5,6,"85,000,000",SALE
101,SEMI DETACHED,Lekki,4,4,5,"52,000,000",SALE
102,DETACHED DUPLEX,Lekki,5,5,6,"120,000,000",SALE
103,TERRACED DUPLEX,Lekki,4,4,5,"45,000,000",SALE
104,SEMI DETACHED,Lekki,4,5,6,"57,000,000",SALE
105,DETACHED DUPLEX,Ajah,4,4,5,"37,000,000",SALE
106,TERRACED DUPLEX,Lekki,4,4,5,"41,000,000",SALE
107,DETACHED DUPLEX,Lekki,6,7,8,"250,000,000",SALE
108,TERRACED DUPLEX,Island,5,5,6,"125,000,000",SALE
109,TERRACED DUPLEX,Lekki,4,4,5,"120,000,000",SALE
110,TERRACED DUPLEX,Lekki,5,5,6,"65,000,000",SALE
111,SEMI DETACHED,Lekki,4,5,6,"50,000,000",SALE
112,TERRACED DUPLEX,Lekki,4,4,5,"82,000,000",SALE
113,SEMI DETACHED,IkotaLekki,4,4,5,"50,000,000",SALE
114,SEMI DETACHED,Ajah,4,5,6,"46,000,000",SALE
115,DETACHED DUPLEX,Lekki,5,5,6,"270,000,000",SALE
116,DETACHED DUPLEX,Lekki,5,6,7,"85,000,000",SALE
117,TERRACED DUPLEX,Ajah,5,5,6,"75,000,000",SALE
118,DETACHED DUPLEX,Lekki,4,4,5,"55,000,000",SALE
119,DETACHED DUPLEX,Lekki,5,5,6,"360,000,000",SALE
120,SEMI DETACHED,Lekki,4,4,5,"60,000,000",SALE
